scalerank,featurecla,name,name_abb,name_alt,note,min_zoom,wikidataid,name_ar,name_bn,name_de,name_en,name_es,name_fr,name_el,name_hi,name_hu,name_id,name_it,name_ja,name_ko,name_nl,name_pl,name_pt,name_ru,name_sv,name_tr,name_vi,name_zh,wdid_score,ne_id
1,Playa,Great Salt Lake Desert,,,,5.6,Q1548386,صحراء سولت لايك,,Große Salzwüste,Great Salt Lake Desert,Gran desierto del Lago Salado,,,,,,Deserto del Gran Lago Salato,グレートソルトレイク砂漠,,Great Salt Lake Desert,Wielka Pustynia Słona,Deserto do Grande Lago Salgado,Пустыня Большого Солёного Озера,,,,大鹽湖沙漠,5,1159110793
1,Playa,Rann of Kutch,,,It is divided into two main parts; Great Rann of Kutch and Little Rann of Kutch.,5.6,Q4026866,,কচ্ছের রান,,Rann of Kutch,,Rann de Kutch,,,,,,カッチ湿地,,,,,Качский Ранн,Rann of Kutch,,,,5,1159110797
1,Playa,Salar de Uyuni,,Salar de Tunupa,World's largest salt flat,5.6,Q76122,سالار دو أويوني,,Salar de Uyuni,Salar de Uyuni,Salar de Uyuni,Salar d'Uyuni,Σαλάρ Ντε Ουγιούνι,सालार दे उयुनी,Salar de Uyuni,Salar de Uyuni,Salar de Uyuni,ウユニ,살라르 데 우유니,Salar de Uyuni,Salar de Uyuni,Salar de Uyuni,Солончак Уюни,Salar de Uyuni,Salar de Uyuni Gölü,Salar de Uyuni,烏尤尼鹽沼,4,1159110811
1,Playa,Dasht-e Kavir,,"Kavir-e Namak, Great Salt Desert",,5.6,Q272514,صحراء كوير,মধ্য ইরানের মরুপ্রায় ভূমি,Wüsten Afghanistans und des Iran,Dasht-e Kavir,Desierto de Kavir,Dasht-e Kavir,,,Dast-e Kavír,Dasht-e Kavir,Dasht-e Kavir,カヴィール砂漠,카비르 사막,Grote Zoutwoestijn,Wielka Pustynia Słona,Dasht-e Kavir,Деште-Кевир,Dasht-e Kavir,Kebir Çölü,,卡维尔盐漠,5,1159110827
3,Playa,Sevier Lake,,,,5.7,Q81246,,,Sevier Lake,Sevier Lake,Lago Sevier,lac Sevier,,,,,lago Sevier,,,Sevier Lake,,,Севир,,,,塞维尔湖,4,1159110841
3,Playa,Carson Sink,,,,5.7,Q5046961,,,,Carson Sink,,,,,,,Carson Sink,カーソンシンク,,,,,,,,,,4,1159110845
3,Playa,Railroad Valley,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,0,1159110859
3,Playa,Salar de Arizaro,,,,5.7,Q3469637,,,,Salar de Arizaro,Salar de Arizaro,Salar d'Arizaro,,,,,,アリサロ塩原,,Salar de Arizaro,Salar de Arizaro,,,Salar de Arizaro,,,,4,1159110877
3,Playa,Salar de Atacama,,,,5.7,Q1142015,,,Salar de Atacama,Salar de Atacama,Salar de Atacama,Salar d'Atacama,,,,,Salar de Atacama,アタカマ塩原,,Salar de Atacama,Salar de Atacama,Salar de Atacama,Салар-де-Атакама,Salar de Atacama,Salar de Atacama,,阿塔卡馬鹽沼,4,1159110893
3,Playa,Salar de Coipasa,,"Coipasa Lake, Lago Coipasa",,5.7,Q1860815,,,Salar de Coipasa,,Salar de Coipasa,Salar de Coipasa,,,,,,,,Salar de Coipasa,,,Солончак Койпаса,Coipasa,,,,4,1159110897
3,Playa,Daryacheh-ye Namak,,Namak Lake,,5.7,Q295272,,,Namaksee,Namak Lake,Lago Namak,lac Namak,,,,,,ナマク湖,,,Darjacze-je Namak,,Дерьячейе-Немек,Daryā-ye Namak,,,納馬克湖,4,1159110915
3,Playa,Kevir-e Namak,,Lake Namakzar,,5.7,,,,,,,,,,,,,,,,,,,,,,,0,1159110935
3,Playa,Etosha Pan,,,,5.7,Q280231,,,Etosha-Pfanne,Etosha pan,,pan d'Etosha,,,,,Praterie alofile dell'Etosha Pan,エトーシャ塩湖,,,Etosza,,Этоша,,,,埃托沙鹽湖,4,1159110955
3,Playa,Chott el Djerid,,Tunisian Salt Lakes,,5.7,Q849143,شط الجريد,,Chott el Djerid,Chott el Djerid,Chott el Djerid,Chott el-Jérid,,,,,Chott el-Jerid,ジェリド湖,엘제리드 호,Sjott el-Djerid,Wielki Szott,Chott el Jerid,Эль-Джерид,Chott el Djerid,,,杰里德大盐湖,4,1159110967
3,Playa,Chott el Fejaj,,Tunisian Salt Lakes,,5.7,Q5105409,شط الفجاج,,Chott el Fedjadj,Chott el Fejej,,Chott el-Fejaj,,,,,,,,,,Chott el Fejaj,,,,,,4,1159110987
3,Playa,Namakzar-e Shadad,,"Dasht-e Lut, Lut Desert",,5.7,,,,,,,,,,,,,,,,,,,,,,,0,1159111001
3,Playa,Lop Nur,,Lop Nor,,5.7,Q319412,بحيرة لوب نور,,Lop Nor,Lop Nur,Lop Nor,Lob Nor,,लोप नुर,Lop-nór,Lop Nur,Lop Nur,ロプノール,,Lob Nuur,Lob-nor,Lop Nor,Лобнор,Lop Nor,,Lop Nur,罗布泊,4,1159111061
5,Playa,,,,_untitled_4,6.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111075
5,Playa,,,,_untitled_3,6.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111087
5,Playa,,,,_untitled_2,6.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111099
5,Playa,Salinas de Ambargasta,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111113
5,Playa,,,,_untitled_1,6.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111121
5,Playa,Makgadikgadi Pans,,,,6.0,Q533041,حوض ماغاديكغادي,,Makgadikgadi-Salzpfannen,Makgadikgadi Pan,Salares de Makgadikgadi,Pan de Makgadikgadi,,,,,,マカディカディ塩湖,,Makgadikgadizoutvlaktes,,,Макгадикгади,Makgadikgadislätten,,,馬卡迪卡迪鹽沼,4,1159111135
5,Playa,Makgadikgadi Pans,,,,6.0,Q533041,حوض ماغاديكغادي,,Makgadikgadi-Salzpfannen,Makgadikgadi Pan,Salares de Makgadikgadi,Pan de Makgadikgadi,,,,,,マカディカディ塩湖,,Makgadikgadizoutvlaktes,,,Макгадикгади,Makgadikgadislätten,,,馬卡迪卡迪鹽沼,4,1159111151
5,Playa,Hamun-i-Mashkel,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111165
5,Playa,Hamun-e Jaz Murian,,,,6.0,Q195389,,,,Hamun-e Jaz Murian,,,,,,,,,,,Hamun-e Dżazmurijan,,Джаз-Муриан,,,,,4,1159111177
5,Playa,,,,_untitled_0,6.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111191
7,Playa,Buena Vista Valley,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,0,1159111205
7,Playa,Coal Valley,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,0,1159111219
7,Playa,Laguna de Guzman,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,0,1159111231
7,Playa,,,,_untitled_8,6.7,,,,,,,,,,,,,,,,,,,,,,,0,1159111241
7,Playa,Bristol Lake,,,,6.7,Q4968942,بحيرة بريستول,,,Bristol Lake,,Bristol Lake,,,,,,,,Bristol Lake,,,,,,,,4,1159111257
7,Playa,,,,_untitled_7,6.7,,,,,,,,,,,,,,,,,,,,,,,0,1159111271
7,Playa,,,,_untitled_6,6.7,,,,,,,,,,,,,,,,,,,,,,,0,1159111285
7,Playa,Daqq-e Patergan,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,0,1159111299
7,Playa,Chott Melrhir,,"Chott Melghir, Chott Melhir",,6.7,Q584255,شط ملغيغ,,Schott Melghir,Chott Melrhir,Chott Melrhir,Chott Melghir,,,Merlhir-sott,,Chott Melrhir,メルリール湖,,Chott Melrhir,Szatt Malghigh,,Мельгир,Chott Melrhir,Melrhir Tuz Gölü,,邁勒吉爾鹽湖,4,1159111311
7,Playa,Chott el Gharsa,,Tunisian Salt Lakes,,6.7,Q590855,شط الغرسة,,Chott el Gharsa,Shatt al Gharsah,,Chott el-Gharsa,,,,,,,,,Szatt al-Gharsa,,Шотт-эль-Гарса,,,,,4,1159111325
7,Playa,Chott ech Chergui,,,,6.7,Q3643226,شط الشرقي,,,Chott Ech Chergui,Chott Ech Chergui,Chott ech Chergui,,,,,Chott Ech Chergui,,,Chott Ech Chergui,Asz-Szatt asz-Szarki,,,Chott ech Chergui,,,,4,1159111339
7,Playa,,,,_untitled_5,6.7,,,,,,,,,,,,,,,,,,,,,,,0,1159111351
7,Playa,,,,_untitled_4,6.7,,,,,,,,,,,,,,,,,,,,,,,0,1159111361
7,Playa,,,,_untitled_3,6.7,,,,,,,,,,,,,,,,,,,,,,,0,1159111373
7,Playa,Kavir-e Abarkuh,,,,6.7,Q5674509,,,,,,,,,,,,,,,Darjacze-je Kaftar,,,,,,,4,1159111387
7,Playa,Gowd-e Zereh,,Godzareh Depression,,6.7,Q2013950,,,,Godzareh depression,Goud-e-Zereh,Goud-e Zareh,,,,,,ゴードザリー低地,,Goud-e-Zereh,,,,,,,,4,1159111403
7,Playa,Daryacheh-ye Sistan,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,0,1159111423
7,Playa,Hamun-e Saberi,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,0,1159111535
7,Playa,,,,_untitled_2,6.7,,,,,,,,,,,,,,,,,,,,,,,0,1159111547
7,Playa,Fortescue River Floodout,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,0,1159111573
8,Playa,Danby Lake,,,,7.0,Q5214976,بحيرة دانبي,,,Danby Lake,,Danby Lake,,,,,,,,,,,,,,,,4,1159111581
8,Playa,,,,_untitled_97,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111605
8,Playa,Searles Lake,,,,7.0,Q7332953,,,,Searles lake,,Searles Lake,,,,,,,,,,,Сёрлс,,,,瑟尔斯湖,4,1159111621
8,Playa,Soda Lake,,,,7.0,Q81309,,,,Soda Lake,,Soda Lake,,,szikes tó,,Soda Lake,ソーダ湖,,Soda Lake,Soda Lake,,,,,,苏打湖,4,1159111633
8,Playa,,,,_untitled_96,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111651
8,Playa,,,,_untitled_95,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111671
8,Playa,Salar de Pipanaco,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111681
8,Playa,,,,_untitled_94,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111699
8,Playa,Salar de Punta Negra,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111717
8,Playa,Kavir-e ?ajj `ali qoli,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111731
8,Playa,,,,_untitled_93,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111743
8,Playa,,,,_untitled_92,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111759
8,Playa,,,,_untitled_91,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111777
8,Playa,,,,_untitled_90,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111797
8,Playa,,,,_untitled_89,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111815
8,Playa,Kavir-e Namak-e Sirjan,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111835
8,Playa,Hamun-i-Lora,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111857
8,Playa,Biger Nuur,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111877
8,Playa,,,,_untitled_88,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111891
8,Playa,,,,_untitled_87,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111909
8,Playa,Gaxun Nur,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111923
8,Playa,Tsagaan Nuur,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111941
8,Playa,,,,_untitled_86,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111949
8,Playa,Ülken Qaraoy Köli,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111965
8,Playa,Ülken Qaraoy Köli,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,0,1159111981
