type	scalerank	featurecla	ne_id	BRK_A3
Official	8	Antarctic claim limit line	1746705649	
Official	8	Antarctic claim limit line	1746705657	
Official	8	Antarctic claim limit line	1746705667	
Official	8	Antarctic claim limit line	1746705675	
Official	8	Antarctic claim limit line	1746705685	
Official	8	Antarctic claim limit line	1746705693	
Official	8	Antarctic claim limit line	1746705701	
Official	8	Antarctic claim limit line	1746705711	
Official	8	Antarctic claim limit line	1746705721	
Official	8	Antarctic claim limit line	1746705725	
Official	8	Antarctic claim limit line	1746705741	
Official	8	Antarctic claim limit line	1746705749	
Official	8	Antarctic claim limit line	1746705759	
Unofficial	8	Antarctic claim limit line unofficial	1746705775	
Official	8	Antarctic claim limit line	1746705787	
Official	8	Antarctic claim limit line	1746705797	
Historic	8	Antarctic claim limit line historic	1746705809	
Official	8	Antarctic claim limit line	1746705815	
Official	8	Antarctic claim limit line	1746705827	
Official	8	Antarctic claim limit line	1746705835	
Official	8	Antarctic claim limit line	1746705851	
Official	8	Antarctic claim limit line	1746705865	
Official	8	Antarctic claim limit line	1746705875	
