degrees	direction	display	scalerank	dd
N	C	C	N	N
80	N	80 N	4	80
70	N	70 N	4	70
60	N	60 N	4	60
50	N	50 N	4	50
40	N	40 N	4	40
30	N	30 N	4	30
20	N	20 N	4	20
10	N	10 N	4	10
0		0	4	0
10	S	10 S	4	-10
20	S	20 S	4	-20
30	S	30 S	4	-30
40	S	40 S	4	-40
50	S	50 S	4	-50
60	S	60 S	4	-60
70	S	70 S	4	-70
80	S	80 S	4	-80
180	E	180 E	4	180
170	E	170 E	4	170
160	E	160 E	4	160
150	E	150 E	4	150
140	E	140 E	4	140
130	E	130 E	4	130
120	E	120 E	4	120
110	E	110 E	4	110
100	E	100 E	4	100
90	E	90 E	4	90
80	E	80 E	4	80
70	E	70 E	4	70
60	E	60 E	4	60
50	E	50 E	4	50
40	E	40 E	4	40
30	E	30 E	4	30
20	E	20 E	4	20
10	E	10 E	4	10
0		0	4	0
10	W	10 W	4	-10
20	W	20 W	4	-20
30	W	30 W	4	-30
40	W	40 W	4	-40
50	W	50 W	4	-50
60	W	60 W	4	-60
70	W	70 W	4	-70
80	W	80 W	4	-80
90	W	90 W	4	-90
100	W	100 W	4	-10
110	W	110 W	4	-11
120	W	120 W	4	-12
130	W	130 W	4	-13
140	W	140 W	4	-14
150	W	150 W	4	-15
160	W	160 W	4	-16
170	W	170 W	4	-17
